"","ID","Latitude","Longitude","SOx","CO2","NOx","Height","Diam","Velocity","Temp"
"1","10-1",32.6017,-87.7811,34091.46,3126122.3,5538.144,152.4,7.3914,86.868,284.705555555556
"2","10-2",32.6017,-87.7811,30665.058,2977010.95,5273.01,152.4,7.3914,86.868,284.705555555556
"3","1001-1",39.9239,-87.4272,34362.13,2797246.658,4619.338,152.4,5.9436,88.392,305.372222222222
"4","1001-2",39.9239,-87.4272,43279.336,3653868.564,6930.661,152.4,5.9436,88.392,305.372222222222
"5","10075-1",47.5314,-90.9111,1967.712,611774.274,1256.936,67.056,3.01752,99.06,302.30765271724
"6","10075-2",47.5314,-90.9111,1708.252,556295.669,1072.501,67.056,3.01752,99.06,302.30765271724
"7","10075-3",47.5314,-90.9111,1558.882,485164.637,932.305,67.056,3.01752,99.06,302.30765271724
"8","1008-2",38.2636,-85.8381,15157.984,813493.17,1400.834,167.64,3.7338,86.868,347.316666666667
"9","1008-4",38.2636,-85.8381,14373.937,819268.013,1363.292,167.64,3.7338,86.868,347.316666666667
"10","1010-2",39.53,-87.4247,8178.515,577898.29,1087.63,137.16,7.62,85.344,317.594444444444
"11","1010-3",39.53,-87.4247,8251.893,580078.795,1101.02,137.16,7.62,85.344,317.594444444444
"12","1010-4",39.53,-87.4247,8863.92,625217.304,1175.28,137.16,7.62,85.344,317.594444444444
"13","1010-5",39.53,-87.4247,9386.94,661132.484,1242.156,137.16,7.62,85.344,317.594444444444
"14","1010-6",39.53,-87.4247,31712.946,2261149.574,4149.924,137.16,7.62,85.344,317.594444444444
"15","1012-3",37.91,-87.3267,1548.339,2167116.983,1673.163,152.0952,6.096,39.0144,289.261111111111
"16","10343-SG-101",40.8092,-76.4539,511.788,556712.186,274.678,93.5736,2.7432,167.64,288.911111111111
"17","1040-1",39.8028,-84.8953,4284.108,253950.41,413.974,99.06,3.5814,100.584,290.916666666667
"18","1040-2",39.8028,-84.8953,7548.667,448216.953,703.91,99.06,3.5814,100.584,290.916666666667
"19","1043-1SG1",38.5201,-87.2662,8634.086,666029.265,1576.317,91.44,3.3528,85.9536,297.266666666667
"20","1043-2SG1",38.5201,-87.2662,6489.667,498559.529,1129.193,91.44,3.3528,85.9536,297.266666666667
"21","1046-1",42.506,-90.6527,1088.46,285658.3,967.463,48.1584,2.7432,106.68,279.07396704324
"22","1046-5",42.506,-90.6527,679.632,189254.65,757.697,48.1584,2.7432,106.68,279.07396704324
"23","1046-6",42.506,-90.6527,174.36,39910.025,228.941,48.1584,2.7432,106.68,279.07396704324
"24","1047-3",43.3359,-91.1672,1221.582,324759.35,1066.91,48.1584,1.7273016,105.156,325.32705152904
"25","1047-4",43.3359,-91.1672,5059.518,1588876.3,3610.589,152.0952,4.6734984,51.816,304.03614945581
"26","1048-2",41.8081,-90.2345,5325.202,1572543.425,1018.284,74.676,3.9624,106.68,318.572267030156
"27","1073-3",41.9439,-91.6386,1908.884,583942.325,1501.76,61.2648,3.7911024,137.16,270.611485059761
"28","1073-4",41.9439,-91.6386,3664.637,1218817.5,2296.164,61.2648,3.9624,100.2792,295.249467748757
"29","1077-1",42.0472,-92.8627,849.703,281938.55,456.16,75.8952,2.8956,106.68,292.255107500005
"30","1077-3",42.0472,-92.8627,1904.069,631971.55,2119.722,75.8952,3.048,99.06,317.469881104034
"31","10773-1",37.1183,-79.2726,59.706,221854.815,300.33,67.056,2.4384,47.244,298.427777777778
"32","10773-2",37.1183,-79.2726,60.541,225932.458,306.476,67.056,2.4384,47.244,298.427777777778
"33","10774-1",36.6525,-76.9953,74.712,242193.351,476.136,67.056,2.4384,60.3504,294.927777777778
"34","10774-2",36.6525,-76.9953,73.514,242962.374,478.237,67.056,2.4384,60.3504,294.927777777778
"35","108-SGU1",37.9306,-100.9725,1772.24,2801875.209,4532.549,144.4752,4.977384,56.388,320.927777777778
"36","1081-9",41.5404,-90.4483,2464.568,687411.4,905.978,105.55224,4.08432,90.5256,298.531565727152
"37","1082-1",41.18,-95.8408,1163.016,448724.35,1023.954,76.2,3.6576,97.536,277.838416588032
"38","1082-2",41.18,-95.8408,1877.192,712566.475,1448.494,76.2,3.6576,88.392,278.461950538649
"39","1082-3",41.18,-95.8408,15294.433,5728414.55,12042.397,167.64,7.62,54.864,308.216013191791
"40","1091-1",42.2996,-96.3634,3517.17,1107682.4,5480.639,68.58,2.8703016,97.536,327.075183944272
"41","1091-2",42.2996,-96.3634,6642.671,1973706.85,4020.429,91.44,4.6482,88.392,313.191378431514
"42","1091-3",42.2996,-96.3634,14083.736,4237262.2,4761.225,121.92,6.096,54.864,306.960929051663
"43","1104-1",40.7412,-91.1168,4657.658,1436451.625,1231.571,93.2688,3.5814,121.92,319.155328648132
"44","1122-7",42.0247,-93.6069,450.88,242380.425,456.523,60.96,2.4384,76.8096,290.529810244161
"45","1122-8",42.0247,-93.6069,784.172,476835.85,923.629,64.008,3.3528,73.152,286.529445877419
"46","113-1",34.9394,-110.3033,777.834,1009828.551,1679.79,76.2,3.41376,36.576,289.816666666667
"47","113-2",34.9394,-110.3033,1044.914,1971299.57,3271.519,167.64,4.48056,51.2064,320.927777777778
"48","113-3",34.9394,-110.3033,9589.86,2418879.241,3751.992,167.64,5.334,94.1832,306.816666666667
"49","113-4",34.9394,-110.3033,10614.546,3406570.436,6097.474,167.64,5.85216,36.576,303.927777777778
