"particle_no","lon","lat","height","hour"
"00001",-87.9094,32.7014,168,1
"00002",-87.9083,32.6998,158,1
"00003",-87.9087,32.701,168,1
"00004",-87.9077,32.6991,151,1
"00005",-87.909,32.7014,166,1
"00006",-87.909,32.7013,159,1
"00007",-87.9086,32.7003,163,1
"00008",-87.9079,32.6999,162,1
"00009",-87.9073,32.6988,155,1
"00010",-87.9082,32.6995,152,1
"00011",-87.8961,32.6906,156,1
"00012",-87.8932,32.6869,137,1
"00013",-87.8959,32.6903,158,1
"00014",-87.8943,32.688,138,1
"00015",-87.8955,32.6899,149,1
"00016",-87.8938,32.6875,143,1
"00017",-87.8957,32.6895,155,1
"00018",-87.895,32.6886,149,1
"00019",-87.8976,32.6918,162,1
"00020",-87.8928,32.6867,144,1
"00021",-87.8826,32.6794,152,1
"00022",-87.8813,32.6781,141,1
"00023",-87.8828,32.6796,156,1
"00024",-87.8827,32.6799,162,1
"00025",-87.8833,32.6804,160,1
"00026",-87.882,32.6785,146,1
"00027",-87.8824,32.6789,146,1
"00028",-87.8832,32.6806,151,1
"00029",-87.8806,32.6769,134,1
"00030",-87.8833,32.6805,151,1
"00031",-87.8698,32.6694,146,1
"00032",-87.8712,32.6715,162,1
"00033",-87.8709,32.6712,151,1
"00034",-87.871,32.6709,163,1
"00035",-87.8692,32.6687,146,1
"00036",-87.8687,32.6684,130,1
"00037",-87.8701,32.6701,154,1
"00038",-87.8688,32.6685,147,1
"00039",-87.8696,32.6692,143,1
"00040",-87.8707,32.6708,151,1
"00041",-87.8574,32.6601,152,1
"00042",-87.8575,32.6604,155,1
"00043",-87.8558,32.6579,128,1
"00044",-87.8584,32.6612,166,1
"00045",-87.8589,32.6616,168,1
"00046",-87.858,32.6605,157,1
"00047",-87.8583,32.6612,164,1
"00048",-87.8575,32.6602,150,1
"00049",-87.8588,32.6615,163,1
"00050",-87.8579,32.6605,152,1
"00051",-87.8449,32.6506,144,1
"00052",-87.8449,32.6503,151,1
"00053",-87.8445,32.6496,143,1
"00054",-87.8449,32.6504,150,1
"00055",-87.845,32.6506,157,1
"00056",-87.8446,32.6501,147,1
"00057",-87.8448,32.6504,145,1
"00058",-87.8451,32.6505,156,1
"00059",-87.8454,32.6509,157,1
"00060",-87.8453,32.6509,157,1
"00061",-87.8314,32.6395,128,1
"00062",-87.8328,32.6412,160,1
"00063",-87.8324,32.6409,156,1
"00064",-87.8319,32.6404,143,1
"00065",-87.8323,32.6407,154,1
"00066",-87.8323,32.6406,146,1
"00067",-87.8327,32.6412,157,1
"00068",-87.8322,32.6405,146,1
"00069",-87.8327,32.6412,160,1
"00070",-87.8324,32.6408,156,1
"00071",-87.82,32.6314,161,1
"00072",-87.8196,32.631,151,1
"00073",-87.8198,32.631,151,1
"00074",-87.8199,32.6312,155,1
"00075",-87.8196,32.6311,148,1
"00076",-87.8199,32.6313,158,1
"00077",-87.8199,32.6312,157,1
"00078",-87.8196,32.631,146,1
"00079",-87.8198,32.6311,155,1
"00080",-87.8195,32.6309,148,1
"00081",-87.8069,32.6213,149,1
"00082",-87.807,32.6213,151,1
"00083",-87.8069,32.6213,150,1
"00084",-87.8069,32.6213,148,1
"00085",-87.807,32.6214,158,1
"00086",-87.8069,32.6212,150,1
"00087",-87.8069,32.6214,155,1
"00088",-87.807,32.6214,154,1
"00089",-87.8069,32.6214,154,1
"00090",-87.8069,32.6213,149,1
"00091",-87.7941,32.6115,152,1
"00092",-87.794,32.6115,155,1
"00093",-87.794,32.6115,152,1
"00094",-87.794,32.6115,155,1
"00095",-87.794,32.6115,151,1
"00096",-87.794,32.6115,153,1
"00097",-87.7941,32.6115,156,1
"00098",-87.7941,32.6115,152,1
"00099",-87.794,32.6115,153,1
"00100",-87.794,32.6115,152,1
"END",NA,NA,NA,1
"00001",-88.0349,32.8136,158,2
